,ROI1,ROI2,intercept,intcpt.tval,pipe.slope,pipe.tval,age.slope,age.tval,ageXphysio.val,ageXphysio.tval,rtitle
14266,78,100,0.0530156510080743,2.03126836438228,0.0361261506579505,2.38248228838655,0.480841549742082,0.255544039087522,0.480841549742082,0.550916948259751,"Left Superior Orbital Gyrus      -  Left Superior Frontal Gyrus     "
14337,78,174,0.0879547959678038,3.56073622206353,0.011585210627241,0.851651984122973,2.89071797286536,1.62325429386218,2.89071797286536,0.761524984929332,"Left Superior Orbital Gyrus      -  Right Inferior Occipital Gyrus  "
14351,78,190,0.114206236273128,4.44679691847301,-0.0175914549133728,-1.25397767153479,2.38542920677532,1.28832243502742,2.38542920677532,0.764975445022299,"Left Superior Orbital Gyrus      -  Right Middle Frontal Gyrus      "
14374,78,213,0.167638883800615,6.42888442380837,-0.0108438641682466,-0.795127292531879,3.21500966535877,1.71018739579479,3.21500966535877,0.875552322583203,"Left Superior Orbital Gyrus      -  unknown"
14376,78,215,0.253105655790128,9.3911221524687,0.00544699983810952,0.425881893072498,2.39662036650619,1.23343266607529,2.39662036650619,1.0045070172198,"Left Superior Orbital Gyrus      -  Left Middle Frontal Gyrus       "
14391,78,230,0.123357694379148,4.89855693597738,0.00794053620478843,0.58875674653883,2.48071191080678,1.36640300729094,2.48071191080678,-0.167989916135043,"Left Superior Orbital Gyrus      -  Right Putamen                   "
14393,78,232,0.113710724761858,4.9388245877332,-0.0187068561279151,-1.46836980550939,1.61389575061855,0.972295358977411,1.61389575061855,1.41031036318393,"Left Superior Orbital Gyrus      -  Right Putamen                   "
14402,78,241,0.131492593622278,5.16798115116996,-0.000216465041238721,-0.0164307704559412,2.38394114198022,1.29961800286932,2.38394114198022,0.776458080067835,"Left Superior Orbital Gyrus      -  Right Middle Temporal Gyrus     "
17627,100,174,0.24113422249982,9.09117561614908,-0.00865874369324225,-0.633948634047962,3.1813134136826,1.66367393830438,3.1813134136826,-0.193410002302279,"Left Middle Frontal Gyrus        -  Right Inferior Occipital Gyrus  "
17641,100,190,0.0294447464213335,1.17891886734245,-0.00219305200620545,-0.168797922118634,0.927650060796277,0.515182186189516,0.927650060796277,0.594069232613321,"Left Middle Frontal Gyrus        -  Right Middle Frontal Gyrus      "
17664,100,213,-0.00802194187040373,-0.330242263182952,0.00304217750658038,0.190660386212501,1.84625180610158,1.05425248923347,1.84625180610158,0.224207185106973,"Left Middle Frontal Gyrus        -  unknown"
17666,100,215,0.00389934813418631,0.158654268796888,0.03791148199311,2.66749215608442,3.26539924029163,1.84287805769831,3.26539924029163,0.0535419196955743,"Left Middle Frontal Gyrus        -  Left Middle Frontal Gyrus       "
17681,100,230,0.0786068961601773,3.35593428255765,0.00339396495057019,0.234237844813106,0.23734410216582,0.140550308890372,0.23734410216582,-0.626043683459252,"Left Middle Frontal Gyrus        -  Right Putamen                   "
17683,100,232,0.0374374770822714,1.49497837936112,0.00140849791096542,0.104000381980952,0.0860589840738039,0.0476678005589989,0.0860589840738039,1.19992577590242,"Left Middle Frontal Gyrus        -  Right Putamen                   "
17692,100,241,0.0568394963814914,2.2985464914385,-0.00634824263383021,-0.459994484794392,-2.91406209364986,-1.63456589592312,-2.91406209364986,1.37562422213778,"Left Middle Frontal Gyrus        -  Right Middle Temporal Gyrus     "
26090,174,190,0.229930920826528,8.5142536338182,0.0105327692110254,0.762214118949601,6.51969394643286,3.34870564791281,6.51969394643286,0.947638618884859,"Left Precentral Gyrus            -  Right Middle Frontal Gyrus      "
26113,174,213,0.378087508067029,14.4242397435697,0.0179579126075267,1.65305090564898,0.410057306770788,0.216992997521781,0.410057306770788,3.9970215421367,"Left Precentral Gyrus            -  unknown"
26115,174,215,0.200563343203298,7.16813805570102,0.025229373661228,2.02482494950907,3.94723081461149,1.95680650768523,3.94723081461149,2.1494592724601,"Left Precentral Gyrus            -  Left Middle Frontal Gyrus       "
26130,174,230,0.214852421093207,8.99810328117392,0.0186599917320406,1.41309694905647,2.47778258817733,1.43937673638496,2.47778258817733,1.76898918933548,"Left Precentral Gyrus            -  Right Putamen                   "
26132,174,232,0.236508218338367,9.07097563199351,0.0219076877747798,1.63908999560198,3.51021665866475,1.86742103905816,3.51021665866475,1.33250438667049,"Left Precentral Gyrus            -  Right Putamen                   "
26141,174,241,0.225282382606795,9.09928882583809,0.0390060504249106,2.68602930603406,1.85309714720898,1.03819508369274,1.85309714720898,0.719043204586014,"Left Precentral Gyrus            -  Right Middle Temporal Gyrus     "
27184,190,213,0.39492508763468,17.2583299975859,0.0177401915237067,1.64512469187845,1.84883696118511,1.12068412806876,1.84883696118511,1.97668339399199,"Right SupraMarginal Gyrus        -  unknown"
27186,190,215,0.270295862728015,10.5321595974697,0.00216521700472941,0.195591438965911,4.1400413534009,2.2376042234767,4.1400413534009,0.115448696921205,"Right SupraMarginal Gyrus        -  Left Middle Frontal Gyrus       "
27201,190,230,0.235232475723991,10.3976487225085,0.0236494836454554,1.90402941490386,2.53351072400075,1.55332084104016,2.53351072400075,1.26619345504752,"Right SupraMarginal Gyrus        -  Right Putamen                   "
27203,190,232,0.211975251684725,8.00025929726394,0.0198650749628249,1.53751779546788,2.73863175358728,1.43368289450776,2.73863175358728,0.807730252092822,"Right SupraMarginal Gyrus        -  Right Putamen                   "
27212,190,241,0.30820894735431,11.4780770352618,0.00874928595552324,0.73950127215547,0.139040993492118,0.0718236242393386,0.139040993492118,0.987174579947764,"Right SupraMarginal Gyrus        -  Right Middle Temporal Gyrus     "
28520,213,215,0.611949556296521,31.4537421410987,0.00865954611900435,0.997828305575434,1.74897227929723,1.24692457596448,1.74897227929723,0.622275199494026,"Left Middle Cingulate Cortex     -  Left Middle Frontal Gyrus       "
28535,213,230,0.388236655672509,16.9889217515954,0.0208532331059648,1.89634356484289,2.09754936569395,1.27315719935691,2.09754936569395,0.920937011955529,"Left Middle Cingulate Cortex     -  Right Putamen                   "
28537,213,232,0.328770397296774,13.5843344331703,0.018872871141289,1.47453292463448,4.00175434751598,2.29348891059359,4.00175434751598,-0.119020665628403,"Left Middle Cingulate Cortex     -  Right Putamen                   "
28546,213,241,0.332896338256495,13.4309282923067,0.0178458575464805,1.5918687921683,0.845663749333387,0.473255083095335,0.845663749333387,2.83192905894676,"Left Middle Cingulate Cortex     -  Right Middle Temporal Gyrus     "
28626,215,230,0.397798899607222,18.0075207761191,0.0235916586900116,2.06758985756022,2.38416839479001,1.49702079901389,2.38416839479001,0.900241535737101,"Left Anterior Cingulate Cortex   -  Right Putamen                   "
28628,215,232,0.303645590692743,11.8543574406519,0.0297752405629141,2.14472696774563,2.42878623986002,1.31522753857665,2.42878623986002,0.022941760912794,"Left Anterior Cingulate Cortex   -  Right Putamen                   "
28637,215,241,0.263788906846119,9.38048823964494,0.0202362524013688,1.65221912528843,2.02644923995774,0.999551569714822,2.02644923995774,-0.0925690430244192,"Left Anterior Cingulate Cortex   -  Right Middle Temporal Gyrus     "
29183,230,232,0.423334731356053,17.9687201899598,0.0391753164340495,3.0986645462261,2.43455622119516,1.43335450009747,2.43455622119516,-0.594228850380603,"Right Putamen                    -  Right Putamen                   "
29192,230,241,0.291517875405722,12.3171909238903,0.0125755383468278,1.03548529815589,2.76775407402228,1.62208848960628,2.76775407402228,-0.20313152925895,"Right Putamen                    -  Right Middle Temporal Gyrus     "
29249,232,241,0.327026083801927,14.8442280752406,-0.00605438290156007,-0.437165001844922,1.26620986545981,0.79722604498963,1.26620986545981,-0.36087190829393,"Left Putamen                     -  Right Middle Temporal Gyrus     "
